[Phi-180],[Phi-179],[Phi-178],[Phi-177],[Phi-176],[Phi-175],[Phi-174],[Phi-173],[Phi-172],[Phi-171],[Phi-170],[Phi-169],[Phi-168],[Phi-167],[Phi-166],[Phi-165],[Phi-164],[Phi-163],[Phi-162],[Phi-161],[Phi-160],[Phi-159],[Phi-158],[Phi-157],[Phi-156],[Phi-155],[Phi-154],[Phi-153],[Phi-152],[Phi-151],[Phi-150],[Phi-149],[Phi-148],[Phi-147],[Phi-146],[Phi-145],[Phi-144],[Phi-143],[Phi-142],[Phi-141],[Phi-140],[Phi-139],[Phi-138],[Phi-137],[Phi-136],[Phi-135],[Phi-134],[Phi-133],[Phi-132],[Phi-131],[Phi-130],[Phi-129],[Phi-128],[Phi-127],[Phi-126],[Phi-125],[Phi-124],[Phi-123],[Phi-122],[Phi-121],[Phi-120],[Phi-119],[Phi-118],[Phi-117],[Phi-116],[Phi-115],[Phi-114],[Phi-113],[Phi-112],[Phi-111],[Phi-110],[Phi-109],[Phi-108],[Phi-107],[Phi-106],[Phi-105],[Phi-104],[Phi-103],[Phi-102],[Phi-101],[Phi-100],[Phi-99],[Phi-98],[Phi-97],[Phi-96],[Phi-95],[Phi-94],[Phi-93],[Phi-92],[Phi-91],[Phi-90],[Phi-89],[Phi-88],[Phi-87],[Phi-86],[Phi-85],[Phi-84],[Phi-83],[Phi-82],[Phi-81],[Phi-80],[Phi-79],[Phi-78],[Phi-77],[Phi-76],[Phi-75],[Phi-74],[Phi-73],[Phi-72],[Phi-71],[Phi-70],[Phi-69],[Phi-68],[Phi-67],[Phi-66],[Phi-65],[Phi-64],[Phi-63],[Phi-62],[Phi-61],[Phi-60],[Phi-59],[Phi-58],[Phi-57],[Phi-56],[Phi-55],[Phi-54],[Phi-53],[Phi-52],[Phi-51],[Phi-50],[Phi-49],[Phi-48],[Phi-47],[Phi-46],[Phi-45],[Phi-44],[Phi-43],[Phi-42],[Phi-41],[Phi-40],[Phi-39],[Phi-38],[Phi-37],[Phi-36],[Phi-35],[Phi-34],[Phi-33],[Phi-32],[Phi-31],[Phi-30],[Phi-29],[Phi-28],[Phi-27],[Phi-26],[Phi-25],[Phi-24],[Phi-23],[Phi-22],[Phi-21],[Phi-20],[Phi-19],[Phi-18],[Phi-17],[Phi-16],[Phi-15],[Phi-14],[Phi-13],[Phi-12],[Phi-11],[Phi-10],[Phi -9],[Phi -8],[Phi -7],[Phi -6],[Phi -5],[Phi -4],[Phi -3],[Phi -2],[Phi -1],[Phi  0],[Phi  1],[Phi  2],[Phi  3],[Phi  4],[Phi  5],[Phi  6],[Phi  7],[Phi  8],[Phi  9],[Phi 10],[Phi 11],[Phi 12],[Phi 13],[Phi 14],[Phi 15],[Phi 16],[Phi 17],[Phi 18],[Phi 19],[Phi 20],[Phi 21],[Phi 22],[Phi 23],[Phi 24],[Phi 25],[Phi 26],[Phi 27],[Phi 28],[Phi 29],[Phi 30],[Phi 31],[Phi 32],[Phi 33],[Phi 34],[Phi 35],[Phi 36],[Phi 37],[Phi 38],[Phi 39],[Phi 40],[Phi 41],[Phi 42],[Phi 43],[Phi 44],[Phi 45],[Phi 46],[Phi 47],[Phi 48],[Phi 49],[Phi 50],[Phi 51],[Phi 52],[Phi 53],[Phi 54],[Phi 55],[Phi 56],[Phi 57],[Phi 58],[Phi 59],[Phi 60],[Phi 61],[Phi 62],[Phi 63],[Phi 64],[Phi 65],[Phi 66],[Phi 67],[Phi 68],[Phi 69],[Phi 70],[Phi 71],[Phi 72],[Phi 73],[Phi 74],[Phi 75],[Phi 76],[Phi 77],[Phi 78],[Phi 79],[Phi 80],[Phi 81],[Phi 82],[Phi 83],[Phi 84],[Phi 85],[Phi 86],[Phi 87],[Phi 88],[Phi 89],[Phi 90],[Phi 91],[Phi 92],[Phi 93],[Phi 94],[Phi 95],[Phi 96],[Phi 97],[Phi 98],[Phi 99],[Phi100],[Phi101],[Phi102],[Phi103],[Phi104],[Phi105],[Phi106],[Phi107],[Phi108],[Phi109],[Phi110],[Phi111],[Phi112],[Phi113],[Phi114],[Phi115],[Phi116],[Phi117],[Phi118],[Phi119],[Phi120],[Phi121],[Phi122],[Phi123],[Phi124],[Phi125],[Phi126],[Phi127],[Phi128],[Phi129],[Phi130],[Phi131],[Phi132],[Phi133],[Phi134],[Phi135],[Phi136],[Phi137],[Phi138],[Phi139],[Phi140],[Phi141],[Phi142],[Phi143],[Phi144],[Phi145],[Phi146],[Phi147],[Phi148],[Phi149],[Phi150],[Phi151],[Phi152],[Phi153],[Phi154],[Phi155],[Phi156],[Phi157],[Phi158],[Phi159],[Phi160],[Phi161],[Phi162],[Phi163],[Phi164],[Phi165],[Phi166],[Phi167],[Phi168],[Phi169],[Phi170],[Phi171],[Phi172],[Phi173],[Phi174],[Phi175],[Phi176],[Phi177],[Phi178],[Phi179],
[Psi-180],1.5053,1.5767,1.6945,1.7371,1.7591,1.7815,1.8045,1.8522,1.9281,1.9281,1.9548,1.9548,1.9548,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9281,1.9281,1.9281,1.9281,1.9281,1.9281,1.9022,1.9022,1.9022,1.9022,1.9022,1.9022,1.8769,1.9281,1.9281,1.9281,1.9281,1.9281,1.9281,1.9548,1.9281,1.9281,1.9281,1.9281,1.9281,1.9281,1.9281,1.9281,1.9022,1.9022,1.8769,1.8769,1.8769,1.8522,1.8045,1.7591,1.7371,1.7156,1.7156,1.6339,1.5954,1.5767,1.5404,1.5227,1.5227,1.5053,1.5404,1.4714,1.4386,1.3913,1.3462,1.2753,1.2350,1.1349,1.0771,1.0014,0.9023,0.7866,0.6982,0.6099,0.6241,0.6170,0.5685,0.5551,0.5551,0.5821,0.6170,0.6385,0.6605,0.7374,0.8383,0.9408,1.0549,1.0771,1.0998,1.2350,1.3031,1.3913,1.4386
[Psi-179],1.3172,1.3610,1.4549,1.5053,1.5584,1.5767,1.5954,1.6537,1.7156,1.7371,1.8045,1.8522,1.9022,1.9548,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9281,1.9281,1.9281,1.9281,1.9281,1.9281,1.9022,1.9022,1.9022,1.9022,1.9022,1.9022,1.8769,1.9281,1.9281,1.9281,1.9281,1.9281,1.9281,1.9548,1.9281,1.9281,1.9281,1.9281,1.9281,1.8769,1.8522,1.8522,1.8281,1.8281,1.7591,1.7591,1.7591,1.7156,1.6739,1.6339,1.5954,1.5767,1.6145,1.5404,1.5053,1.4882,1.4069,1.3913,1.3610,1.2891,1.3316,1.2753,1.2219,1.1963,1.1349,1.0659,1.0014,0.9023,0.8036,0.7295,0.6385,0.5353,0.4659,0.3840,0.3672,0.3400,0.3030,0.2927,0.2979,0.3400,0.3672,0.4182,0.4659,0.5485,0.6458,0.7617,0.8744,0.9310,1.0119,1.1231,1.1837,1.2350,1.2482
[Psi-178],1.0331,1.0884,1.2090,1.3172,1.3610,1.3913,1.4226,1.5053,1.6537,1.6739,1.7815,1.8281,1.9022,1.9548,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9281,1.9281,1.9281,1.9281,1.9022,1.9022,1.8769,1.8769,1.8769,1.8769,1.8769,1.8769,1.8522,1.9022,1.9022,1.9022,1.9022,1.9281,1.9281,1.9281,1.9022,1.9022,1.9022,1.9022,1.9022,1.8522,1.8281,1.8281,1.7591,1.7591,1.6945,1.6945,1.7156,1.6739,1.6339,1.5954,1.5584,1.5053,1.5227,1.4549,1.3913,1.3761,1.3031,1.2891,1.2219,1.1590,1.1713,1.0439,0.9910,0.9118,0.8744,0.7950,0.7295,0.6241,0.5353,0.4418,0.3293,0.2624,0.1812,0.1104,0.0935,0.0604,0.0403,0.0323,0.0323,0.0727,0.1019,0.1496,0.1951,0.2724,0.3508,0.4659,0.5685,0.6531,0.7059,0.8208,0.8562,0.9408,0.9408
[Psi-177],0.9213,0.9808,1.0998,1.2482,1.3031,1.3462,1.3761,1.4549,1.5954,1.6145,1.7591,1.8045,1.9022,1.9548,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9281,1.9281,1.9281,1.9281,1.9022,1.8769,1.8522,1.8522,1.8522,1.8522,1.8522,1.8522,1.8281,1.8769,1.8769,1.8769,1.8769,1.9022,1.9281,1.9281,1.9022,1.9022,1.9022,1.9022,1.9022,1.7815,1.7591,1.7591,1.6945,1.6945,1.6339,1.6339,1.6145,1.5584,1.5227,1.4882,1.4069,1.3172,1.3761,1.3031,1.2219,1.2090,1.1469,1.1349,1.0659,0.9910,0.9910,0.8744,0.7950,0.7295,0.6531,0.5419,0.4843,0.3562,0.2775,0.1905,0.0809,0.0128,-0.0583,-0.1212,-0.1676,-0.1963,-0.2181,-0.2181,-0.2088,-0.1900,-0.1447,-0.1041,-0.0619,0.0012,0.0768,0.1858,0.2825,0.4067,0.4781,0.6029,0.6679,0.7699,0.8121
[Psi-176],0.6982,0.8036,0.9606,1.1349,1.1963,1.2753,1.3172,1.3913,1.5404,1.5767,1.7156,1.7591,1.9022,1.9548,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9281,1.9548,1.9548,1.9548,1.9548,1.9548,1.9022,1.9022,1.9022,1.9022,1.8769,1.8522,1.8281,1.8281,1.8281,1.8281,1.8281,1.8281,1.8045,1.8522,1.8522,1.8522,1.8522,1.8769,1.9022,1.9022,1.9022,1.8522,1.8522,1.8281,1.8281,1.7156,1.6945,1.6945,1.5767,1.5767,1.5053,1.5053,1.4714,1.4226,1.3913,1.3316,1.2219,1.1469,1.1963,1.1114,1.0014,1.0119,0.9118,0.8653,0.8121,0.7374,0.7215,0.6170,0.5159,0.4358,0.3562,0.2476,0.1631,0.0686,-0.0140,-0.0797,-0.1805,-0.2543,-0.3148,-0.3665,-0.4157,-0.4307,-0.4307,-0.4382,-0.4357,-0.4081,-0.3797,-0.3478,-0.3176,-0.2514,-0.1741,-0.0832,-0.0026,0.1277,0.1998,0.2979,0.3840,0.5031,0.5618
[Psi-175],0.5031,0.6385,0.8208,1.0119,1.0884,1.1713,1.2090,1.2753,1.4226,1.4549,1.6145,1.6537,1.8045,1.8522,1.8769,1.9022,1.9281,1.9281,1.9281,1.9281,1.9281,1.9281,1.9281,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9822,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9548,1.9281,1.9281,1.9281,1.9281,1.9022,1.9281,1.9281,1.9281,1.9281,1.9281,1.8769,1.8769,1.8769,1.9022,1.8769,1.8522,1.8045,1.8045,1.8045,1.8045,1.8045,1.8045,1.7815,1.8281,1.8281,1.8045,1.7815,1.8045,1.8281,1.8522,1.8522,1.8045,1.8045,1.7815,1.7815,1.6739,1.6537,1.6537,1.5584,1.5584,1.4549,1.4549,1.4226,1.3761,1.2617,1.1837,1.0659,0.9808,1.0014,0.8929,0.7699,0.7782,0.6679,0.6099,0.5353,0.4418,0.4067,0.3293,0.2575,0.1496,0.0604,-0.0437,-0.1144,-0.1963,-0.3007,-0.3558,-0.4480,-0.5323,-0.5742,-0.6368,-0.6745,-0.6919,-0.6784,-0.6765,-0.6706,-0.6449,-0.6205,-0.5806,-0.5589,-0.4934,-0.3953,-0.3148,-0.2057,-0.0797,-0.0102,0.0893,0.1676,0.2927,0.3562
